URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight,nexrad_sites,aws_files
F,A321,CLT UA /OV 30 NW CLT/TM 2232/FL130/TP A321/TB MOD,MOD,,13000.0,35.50936144804442,-81.45571799210074,2021-03-25 22:32:00+00:00,3.0,1,M,"('KGSP', 'KCAE', 'KMRX', 'KFCX', 'KJKL')","['s3://unidata-nexrad-level2/2021/03/25/KGSP/KGSP20210325_223016_V06', 's3://unidata-nexrad-level2/2021/03/25/KCAE/KCAE20210325_222914_V06', 's3://unidata-nexrad-level2/2021/03/25/KMRX/KMRX20210325_222947_V06', 's3://unidata-nexrad-level2/2021/03/25/KFCX/KFCX20210325_222830_V06', 's3://unidata-nexrad-level2/2021/03/25/KJKL/KJKL20210325_222851_V06']"
F,C172,SWD UA /OV TED138012 /TM 2135 /FL035 /TP C172 /TB LGT /RM LGT TURBOV TURNAGAIIN 035-040 (AKFSS),LGT,,3500.0,61.02135899594631,-149.7124522849724,2021-03-08 21:35:00+00:00,1.0,0,L,"('PAHG', 'PAIH', 'PAIH', 'PAPD', 'PAKC')","['s3://unidata-nexrad-level2/2021/03/08/PAHG/PAHG20210308_213028_V06', 's3://unidata-nexrad-level2/2021/03/08/PAIH/PAIH20210308_213158_V06', 's3://unidata-nexrad-level2/2021/03/08/PAIH/PAIH20210308_213158_V06', 's3://unidata-nexrad-level2/2021/03/08/PAPD/PAPD20210308_212933_V06', 's3://unidata-nexrad-level2/2021/03/08/PAKC/PAKC20210308_212958_V06']"
F,M5,TBR UA /OV KARW-KTBR /TM 1839 /FL020 /TP M5 /TB MOD,MOD,,2000.0,32.44745055,-81.18564710000001,2021-03-15 18:39:00+00:00,3.0,0,L,"('KCLX', 'KCAE', 'KJGX', 'KJAX', 'KVAX')","['s3://unidata-nexrad-level2/2021/03/15/KCLX/KCLX20210315_182844_V06', 's3://unidata-nexrad-level2/2021/03/15/KCAE/KCAE20210315_183605_V06', 's3://unidata-nexrad-level2/2021/03/15/KJGX/KJGX20210315_183328_V06', 's3://unidata-nexrad-level2/2021/03/15/KJAX/KJAX20210315_182945_V06', 's3://unidata-nexrad-level2/2021/03/15/KVAX/KVAX20210315_183246_V06']"
T,CRJ7,HUF UUA /OV TTH030015/TM 1354/FL320/TP CRJ7/TB SEV CHOP,SEV CHOP,,32000.0,39.70652388797807,-87.08801430578404,2021-03-14 13:54:00+00:00,5.0,0,M,"('KIND', 'KVWX', 'KILX', 'KLOT', 'KLVX')","['s3://unidata-nexrad-level2/2021/03/14/KIND/KIND20210314_135249_V06', 's3://unidata-nexrad-level2/2021/03/14/KVWX/KVWX20210314_135218_V06', 's3://unidata-nexrad-level2/2021/03/14/KILX/KILX20210314_135202_V06', 's3://unidata-nexrad-level2/2021/03/14/KLOT/KLOT20210314_134941_V06', 's3://unidata-nexrad-level2/2021/03/14/KLVX/KLVX20210314_134937_V06']"
F,B737,TEB UA /OV SAX/TM 0022/FL370/TP B737/TB CONS LGT,CONS LGT,,37000.0,41.07,-74.54,2021-03-18 00:22:00+00:00,1.0,0,M,"('KDIX', 'KOKX', 'KENX', 'KBGM', 'KDOX')","['s3://unidata-nexrad-level2/2021/03/18/KDIX/KDIX20210318_001850_V06', 's3://unidata-nexrad-level2/2021/03/18/KOKX/KOKX20210318_001741_V06', 's3://unidata-nexrad-level2/2021/03/18/KENX/KENX20210318_001928_V06', 's3://unidata-nexrad-level2/2021/03/18/KBGM/KBGM20210318_001723_V06', 's3://unidata-nexrad-level2/2021/03/18/KDOX/KDOX20210318_001327_V06']"
F,E175,SDF UA /OV IIU180025/TM 0406/FL300/TP E175/TB SEV 300,SEV 300,,30000.0,37.68329958329959,-85.58,2021-03-12 04:06:00+00:00,5.0,1,U,"('KLVX', 'KOHX', 'KHPX', 'KILN', 'KMRX')","['s3://unidata-nexrad-level2/2021/03/12/KLVX/KLVX20210312_040056_V06', 's3://unidata-nexrad-level2/2021/03/12/KOHX/KOHX20210312_040346_V06', 's3://unidata-nexrad-level2/2021/03/12/KHPX/KHPX20210312_040213_V06', 's3://unidata-nexrad-level2/2021/03/12/KILN/KILN20210312_040350_V06', 's3://unidata-nexrad-level2/2021/03/12/KMRX/KMRX20210312_040234_V06']"
F,B737,ABQ UA /OV ABQ030035/TM 1416/FL390/TP B737/TB NEG/RM ZAB/FDCS,NEG,,39000.0,35.54712240528217,-106.25922937805832,2021-03-04 14:16:00+00:00,0.0,0,M,"('KABX', 'KFDX', 'KHDX', 'KPUX', 'KEPZ')","['s3://unidata-nexrad-level2/2021/03/04/KABX/KABX20210304_140640_V06', 's3://unidata-nexrad-level2/2021/03/04/KFDX/KFDX20210304_140834_V06', 's3://unidata-nexrad-level2/2021/03/04/KHDX/KHDX20210304_141247_V06', 's3://unidata-nexrad-level2/2021/03/04/KPUX/KPUX20210304_141351_V06', 's3://unidata-nexrad-level2/2021/03/04/KEPZ/KEPZ20210304_140730_V06']"
F,B752,FOD UA /OV FOD180025/TM 1357/FL350/TP B752/TB CONS MOD,CONS MOD,,35000.0,42.13304058329958,-94.203203,2021-03-17 13:57:00+00:00,3.0,0,M,"('KDMX', 'KOAX', 'KFSD', 'KDVN', 'KMPX')","['s3://unidata-nexrad-level2/2021/03/17/KDMX/KDMX20210317_135621_V06', 's3://unidata-nexrad-level2/2021/03/17/KOAX/KOAX20210317_135648_V06', 's3://unidata-nexrad-level2/2021/03/17/KFSD/KFSD20210317_135630_V06', 's3://unidata-nexrad-level2/2021/03/17/KDVN/KDVN20210317_135511_V06', 's3://unidata-nexrad-level2/2021/03/17/KMPX/KMPX20210317_134958_V06']"
T,C525,ELP UUA /OV ELP/TM 0017/FL400/TP C525/TB SEV/RM ZAB/FDCS,SEV,,40000.0,31.81111,-106.37583,2021-03-15 00:17:00+00:00,5.0,0,L,"('KEPZ', 'KHDX', 'KABX', 'KMAF', 'KFDX')","['s3://unidata-nexrad-level2/2021/03/15/KEPZ/KEPZ20210315_001642_V06', 's3://unidata-nexrad-level2/2021/03/15/KHDX/KHDX20210315_001125_V06', 's3://unidata-nexrad-level2/2021/03/15/KABX/KABX20210315_001512_V06', 's3://unidata-nexrad-level2/2021/03/15/KMAF/KMAF20210315_001010_V06', 's3://unidata-nexrad-level2/2021/03/15/KFDX/KFDX20210315_001232_V06']"
F,C25B,TWF UA /OV TWF/TM 1830/FL060/TP C25B/TB MOD-SEV/RM TURB BETWEEN 1000-2000 AGL,MOD-SEV,,6000.0,42.48181,-114.48775,2021-03-28 18:30:00+00:00,4.0,0,U,"('KSFX', 'KCBX', 'KMTX', 'KLRX', 'KMSX')","['s3://unidata-nexrad-level2/2021/03/28/KSFX/KSFX20210328_182934_V06', 's3://unidata-nexrad-level2/2021/03/28/KCBX/KCBX20210328_182657_V06', 's3://unidata-nexrad-level2/2021/03/28/KMTX/KMTX20210328_182322_V06', 's3://unidata-nexrad-level2/2021/03/28/KLRX/KLRX20210328_182537_V06', 's3://unidata-nexrad-level2/2021/03/28/KMSX/KMSX20210328_182348_V06']"
