label,issue,expire,fl_low,fl_high,polygon
1C,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,44000.0,"POLYGON ((-86.4359409667608 46.34594898189536, -83.76514420096325 45.486461934909244, -89.49443287538377 44.01080878220835, -90.82107507811406 44.427532811382356, -86.4359409667608 46.34594898189536))"
2C,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,44000.0,"POLYGON ((-90.89699999006913 32.25324195810192, -93.49475512420265 30.139439034548282, -94.46010067048853 30.275343160522098, -92.26536507838304 32.05868429101709, -90.89699999006913 32.25324195810192))"
3C,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-97.90194624220784 31.147997827433063, -98.30704593054054 27.57895533621855, -98.85975021040778 25.91248758424627, -101.13804484753827 30.128019093216185, -97.90194624220784 31.147997827433063))"
4C,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-107.53493890047126 42.70111697496717, -105.32446819091622 42.38015313579989, -105.08869010976 41.808844772416705, -107.30000000000001 41.51821373441836, -107.53493890047126 42.70111697496717))"
5C,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-99.64074369604437 43.18429236797235, -98.25305115065738 43.23770077539203, -101.80421187667515 40.57567593551191, -102.92836700647567 40.620843265775434, -99.64074369604437 43.18429236797235))"
6C,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-101.29639606091149 43.560830911975906, -99.72027794867908 43.62062502360564, -102.2337742483311 42.26528651123964, -103.73844307096422 42.350826132649324, -101.29639606091149 43.560830911975906))"
7C,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-94.42636363636365 43.24547050357281, -94.15363636363637 43.24547050357281, -94.15363636363637 42.972743230845545, -94.42636363636365 42.972743230845545, -94.42636363636365 43.24547050357281))"
1W,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,39000.0,"POLYGON ((-111.03376162975583 44.79424899409146, -109.15914296197778 44.88648877910101, -109.14345235096638 43.202225520727616, -111.01373549920363 42.57644888764597, -111.03376162975583 44.79424899409146))"
2W,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,43000.0,"POLYGON ((-104.66000000000001 40.142737911472786, -104.18083290443506 37.44958280961716, -106.11504799490265 37.114351899317576, -105.46332683011786 40.06190216038199, -104.66000000000001 40.142737911472786))"
3W,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,41000.0,"POLYGON ((-106.97420498971309 36.96238112855515, -109.07808969597652 32.333536291938394, -111.3715848282088 34.58809449993688, -109.32879968492946 37.04080038207598, -106.97420498971309 36.96238112855515))"
4W,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,44000.0,"POLYGON ((-114.25249786255614 39.48947500186198, -111.00128602595329 38.65489615582304, -109.96085475025946 36.98200232549708, -113.3292337791634 36.8620217167325, -115.13299793914501 37.659446049214516, -114.25249786255614 39.48947500186198))"
5W,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,40000.0,"POLYGON ((-120.51 41.99089313279083, -118.0150353548404 40.56483011763162, -118.0695378244107 38.234901928799765, -119.25482054290377 37.95460394943232, -122.119873340108 41.889068173965995, -120.51 41.99089313279083))"
6W,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,39000.0,"POLYGON ((-117.70122045978681 41.15558463237459, -114.22820815195873 41.081978710074075, -114.25249786255614 39.48947500186198, -118.0695378244107 38.234901928799765, -117.70122045978681 41.15558463237459))"
1E,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-77.8267860067126 39.99732278515188, -76.61269365850436 38.85922152146604, -77.04 38.360893132790814, -81.55540648985522 36.62962449003041, -81.86742668749179 38.44247743264996, -77.8267860067126 39.99732278515188))"
2E,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-77.32 36.50178626558166, -76.9040314984609 35.669609064995846, -78.61242498927234 34.093090724269146, -79.84604696694495 34.293526190676616, -77.32 36.50178626558166))"
3E,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,42000.0,"POLYGON ((-81.05 34.026368955736395, -80.62674480501212 33.506354079500696, -83.65000000000002 32.5236310442636, -84.2876137134569 33.32249672616771, -81.05 34.026368955736395))"
4E,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-80.49 28.012737911472787, -80.41053609138315 25.682301140750543, -83.49897002959062 25.217107218672528, -83.71993687404334 27.524099066475177, -80.49 28.012737911472787))"
5E,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-84.65157692564308 32.57819219491744, -84.8306234293112 31.467860282199958, -89.48118569360773 31.29765030211519, -89.80598348431438 32.38214249122722, -87.22523196645838 31.898439406737257, -84.65157692564308 32.57819219491744))"
6E,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,45000.0,"POLYGON ((-87.54479807310904 30.02160816642563, -85.16251131067045 29.691641457176388, -83.71993687404334 27.524099066475177, -86.68 28.00172775248132, -87.54479807310904 30.02160816642563))"
7E,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,38000.0,"POLYGON ((-84.50027586492577 39.93616369038091, -83.41526102165861 39.012954026824886, -83.71527602259764 38.697518366774, -85.29511280031933 39.20949016593536, -84.50027586492577 39.93616369038091))"
8E,2013-08-22 00:55:00+00:00,2013-08-22 02:55:00+00:00,0.0,38000.0,"POLYGON ((-85.61095706590513 34.036897021025304, -85.36244722449273 33.35731710735726, -86.9 32.83815522131804, -86.97663705057394 33.82368123504988, -85.61095706590513 34.036897021025304))"
ALFA 3,2013-08-22 01:15:00+00:00,2013-08-22 05:15:00+00:00,0.0,44000.0,"POLYGON ((-155 34.45, -159.15 30, -160.45 30, -161 34.45, -155 34.45))"
8C,2013-08-22 01:55:00+00:00,2013-08-22 03:55:00+00:00,0.0,44000.0,"POLYGON ((-85.15399072187837 45.81866932927746, -85.05674637414835 44.31601238241532, -93.66539199648501 42.41730053635912, -93.78562516572404 43.08909620289409, -89.76 44.04910686720918, -85.15399072187837 45.81866932927746))"
9C,2013-08-22 01:55:00+00:00,2013-08-22 03:55:00+00:00,0.0,45000.0,"POLYGON ((-88.8 32.54636895573639, -87.98666848660484 31.49799042518937, -89.98532779361153 31.064426437582185, -89.62436259727166 32.317822094501885, -88.8 32.54636895573639))"
10C,2013-08-22 01:55:00+00:00,2013-08-22 03:55:00+00:00,0.0,45000.0,"POLYGON ((-98.16980147557979 31.338508877722262, -98.72859045918437 27.22362654902726, -99.42 26.980893132790825, -101.13804484753827 30.128019093216185, -98.16980147557979 31.338508877722262))"
