URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
T,B77W,PMDY UUA /OV 3400N 16800W/TM 1346/FL310/TP B77W/TB SEV/RM ZOA CWSU,SEV,,31000.0,34.0,-168.0,2017-05-08 13:46:00+00:00,5.0,0,U
F,B738,UUA /OV 5711N12611W /TM 0545 /FL370 /TP B738 /TB MDT-SEV,MDT-SEV,,37000.0,57.1833,-126.1833,2017-05-22 05:45:00+00:00,5.0,0,M
F,PA32,GSP UA /OV FQD/TM 1615/FL080/TP PA32/TB SEV 080,SEV 080,,8000.0,35.42822,-81.93508,2017-05-06 16:15:00+00:00,5.0,0,L
F,A321,LEX UA /OV FLM/TM 1718/FL320/TP A321/TB NEG-LGT CHOP,NEG-LGT CHOP,,32000.0,38.65,-84.31,2017-05-11 17:18:00+00:00,0.0,0,M
F,GLF4,CRW UA /OV HVQ190015/TM 1356/FL380/TP GLF4/TB MOD/RM MOD TURB - WAVE ACTION +- 500FT,MOD,,38000.0,38.103778119370006,-81.82536038181071,2017-05-29 13:56:00+00:00,3.0,0,M
F,E190,BAF UA /OV 10 W GDM/TM 1123/FL190/TP E190/TB MOD CHOP\,MOD CHOP\,,19000.0,42.54,-72.23622003401043,2017-05-06 11:23:00+00:00,3.0,0,U
F,PRM1,SOA UA /OV ELP090285 /TM 1944 /FL400 /TP PRM1 /TA M59 /WV 30045KT /TB NEG /RM SMOOTH/ ISA MINUS 3,NEG,,40000.0,31.81111,-100.78576425235534,2017-05-25 19:44:00+00:00,0.0,0,L
F,CRJ2,MLI UA /OV MZV/TM 1301/FL320/TP CRJ2/TB LGT CHOP,LGT CHOP,,32000.0,41.32,-90.64,2017-05-04 13:01:00+00:00,1.0,0,M
F,CRJ7,JAC UA /OV DNW020050/TM 0041/FL280/TP CRJ7/TB MOD CHOP/RM ZLC,MOD CHOP,,28000.0,44.61314061330359,-109.94487833124477,2017-05-10 00:41:00+00:00,3.0,0,M
F,PC12,KFAR UA /OV FAR230020/TM 2135/FL040/TP PC12/TB SEV,SEV,,4000.0,46.711000108155005,-97.18502939822643,2017-05-09 21:35:00+00:00,5.0,0,L
F,B777,UUA /OV 5742N10730W /TM 1215 /FL360 /TP B777 /TB SEV CAT /RM LGT CHOP AT 340,SEV CAT,,36000.0,57.7,-107.5,2017-05-14 12:15:00+00:00,5.0,0,H
F,E170,DEN UA /OV DEN120040/TM 1720/FL190/TP E170/TB MOD,MOD,,19000.0,39.49943966663967,-103.90559964079726,2017-05-25 17:20:00+00:00,3.0,0,U
F,PAY1,JAX UA /OV JAX315005/TM 1731/FL250/TP PAY1/TB SEV,SEV,,25000.0,30.552990338074427,-81.75624990898862,2017-05-15 17:31:00+00:00,5.0,0,L
F,A306,MEM UA /OV MEM165010/TM 0325/FL100/TP A306/TB MOD,MOD,,10000.0,34.90010932227346,-89.9322963921921,2017-05-04 03:25:00+00:00,3.0,0,H
F,BE9L,GNT UA /OV ABQ309060 /TM 0123 /FL170 /TP BE9L /SK BKN160/TOP195 /TA M07 /TB OCNL LGT CHOP /IC RIME TRACE /RM AEROVIE,OCNL LGT CHOP,,17000.0,35.67127136605249,-107.56478322866656,2017-05-13 01:23:00+00:00,1.0,0,L
T,C56X,W99 UUA /OV LDN250025/TM 1945/FL105/TP C56X/TB SEV,SEV,,10500.0,38.70748006375626,-78.71279263682605,2017-05-08 19:45:00+00:00,5.0,0,M
T,BE40,ATL UUA /OV ATL334041/TM 1759/FL110/TP BE40/TB SEV 110-090/RM DURD NO INJURIES OR DAMAGE/ZTLFD,SEV 110-090,,11000.0,34.24432567993797,-84.80159695086019,2017-05-18 17:59:00+00:00,5.0,0,M
T,C17,SIY UUA /OV LMT190060/TM 1836/FL300/TP C17/TB SEV/RM * ..ZSE,SEV,,30000.0,41.16205247748003,-121.95839723718078,2017-05-31 18:36:00+00:00,5.0,0,L
F,P28A,TME UA /OV PSX360050 /TM 1607 /FL040 /TP P28A /TB MOD 030-040,MOD 030-040,,4000.0,29.563400833400834,-96.25,2017-05-22 16:07:00+00:00,3.0,0,L
F,A320,SPA UA /OV SPA030025/TM 2155/FL350/TP A320/TB LGT-MOD /RM ZTLFD,LGT-MOD,,35000.0,35.27659534663012,-81.70241278296537,2017-05-09 21:55:00+00:00,2.0,0,M
T,C172,AVL UUA /OV SUG012014/TM 1945/FL090/TP C172/TA M01/TB SEV/IC MOD-SEV MIX/RM NO DAMAGE NO INJURIES AC COULD NOT MAINTAIN ALT/ZTLFD,SEV,,9000.0,35.63825292717936,-82.21047230771435,2017-05-06 19:45:00+00:00,5.0,0,L
T,C180,ANC UUA /OV IEM-ANC /TM 0220 /FL065 /TP C180 /TB SEV 045-065 /RM TURAGAIN ARM,SEV 045-065,,6500.0,60.97,-149.35000000000002,2017-05-07 02:20:00+00:00,5.0,0,L
T,RV7,JAN UUA /OV JAN045040/TM 1950/FL080/TP RV7/TB SEV/RM ZME,SEV,,8000.0,32.7914427045954,-89.52212932473037,2017-05-28 19:50:00+00:00,5.0,0,L
F,C550,"KTN UA /OV ANN180040 /TM 2240 /FL360 /TP C550 /TB NEG /RM ""BEAUTIFUL",NEG,,36000.0,54.373279333279335,-131.57,2017-05-17 22:40:00+00:00,0.0,0,L
F,B777,UUA /OV 4510N054W /TM 0040 /FL360 /TP B777/TB SEV/RM,SEV,,36000.0,45.1666,-0.9,2017-05-09 00:40:00+00:00,5.0,0,H
T,C310,PVU UUA /OV DTA310030/TM 2230/FL105/TP C310/TB SEV CHOP 105-120 /ZLC,SEV CHOP 105-120,,10500.0,39.70201983776749,-113.00327412119483,2017-05-26 22:30:00+00:00,5.0,0,L
